id;title;description;availability;product_type;google_product_category;condition;price;link;image_link;brand;sale_price;mpn
7423;"Spuma de curatare extensii gene 60 ml";"Lash Shampoo Ajută la îndepărtarea sebumului, prafului, germenilor și a tuturor altor reziduuri de machiaj de pe gene. Prelungește durata de aderență a extensiilor de gene.";147;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"25.00 RON";https://pinklashes.ro/en/liquids-removers/lash-foam-60-ml.html;https://https://pinklashes.ro/31259-large_default/lash-foam-60-ml.jpg;02675;"25.00 RON";02675
7424;"Glue Speeding Bonder Universal, Accelerator pentru adeziv";"Data productiei : 30.06.2023Data expirare: 6 LUNI DE LA DESCHIDERE. Acest bonder a fost testat si pe genele naturale si este ok si pentru acestea.";67;"Shop>Glues & Liquids>Liquids & Removers";469;new;"59.00 RON";https://pinklashes.ro/en/liquids-removers/glue-speeding-bonder.html;https://https://pinklashes.ro/31261-large_default/glue-speeding-bonder.jpg;77678;"35.00 RON";77678
7425;"Spuma curatare gene fara ulei, capsuni si trandafir, sampon extensii gene 60 ml";"Spuma de curatare fara ulei, cu un miros irezistibil de capsuni sau tradanfiri.
Sfaturi pentru folosire:
• Agita sticluta • Aplica un puf pe pensula de curatare gene  • Cu ajutorul pensulei, manseaza incet zona pleoapele si extensiile de gene  • Clateste cu apa din abundenta
Cantitate 60 ml";94;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"24.99 RON";https://pinklashes.ro/en/liquids-removers/lash-foam-60-ml-oil-free-cleansing-foam.html;https://https://pinklashes.ro/34333-large_default/lash-foam-60-ml-oil-free-cleansing-foam.jpg;42870;"18.00 RON";42870
7426;"Paleta din rășină Roz pentru adezivul de extensii gene, Reutilizabilă";"Suprafața rece a pietrei de rășină vă va ajuta să vă mențineți lipiciul la temperatura potrivită.
• Eficient, rapid și ușor de curățat• Păstrează adezivul proaspăt pe paletă.• Excelent pentru utilizare în procesul aplicarii extensiilor de genelor";4;"Shop>Accessories>Glue & Lash Holders";469;new;"19.99 RON";https://pinklashes.ro/en/glue-lash-holders/pink-resin-palette-for-eyelash-extension-glue-reusable.html;https://https://pinklashes.ro/31266-large_default/pink-resin-palette-for-eyelash-extension-glue-reusable.jpg;41915;"19.99 RON";41915
7427;"Banda Antialergica transparenta, pentru izolarea genelor si sprancenelor";"Acestă Rolă Antialergică este special concepută pentru tratamente de înfrumusețare.
Poate fi utilizata pentru:

 îndepărtarea extensiilor de gene cu ajutorul unui remover. Folia grabeste procesul de indepartare atunci cand e aplicata peste remover. 
 procedura de laminare a genelor sau sprancenelor. 
 procedura de micropigmentare, in momentul in care se aplica o crema anestezica.

";80;"Shop>Accessories>Tape & Eyepads";469;new;"13.00 RON";https://pinklashes.ro/en/others-accessories/transparent-tape-antiallergic-material-for-isolating-eyelashes-and-eyebrows.html;https://https://pinklashes.ro/34362-large_default/transparent-tape-antiallergic-material-for-isolating-eyelashes-and-eyebrows.jpg;73633;"13.00 RON";73633
7429;"Spuma curatare gene fara ulei, sampon banana si aloe 100 ml";"Spuma de curatare fara ulei, cu un miros irezistibil de banana sau aloe.
Sfaturi pentru folosire:
• Agita sticluta • Aplica un puf pe pensula de curatare gene  • Cu ajutorul pensulei, manseaza incet zona pleoapele si extensiile de gene  • Clateste cu apa din abundenta
Cantitate 100 ml";163;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"30.00 RON";https://pinklashes.ro/en/liquids-removers/lash-foam-100-ml-banana-and-aloe-oil-free-cleansing-foam.html;https://https://pinklashes.ro/31288-large_default/lash-foam-100-ml-banana-and-aloe-oil-free-cleansing-foam.jpg;"Pink Lashes";"30.00 RON";93790
7430;"Gel anti-alergic pentru neutralizarea vaporilor de adeziv extensii gene";"Gelul anti-alergic anihileaza vaporii adezivului. ";109;"Shop>Glues & Liquids>Adhesives";469;new;"59.00 RON";https://pinklashes.ro/en/liquids-removers/anti-allergy-gel-for-sensitive-eyes-aborbs-eyelash-extension-glue-fumes.html;https://https://pinklashes.ro/34139-large_default/anti-allergy-gel-for-sensitive-eyes-aborbs-eyelash-extension-glue-fumes.jpg;"Pink Lashes";"37.60 RON";94383
7434;"LASH SHAMPOO CONCENTRATE, spuma concentrata - mixeaza cu apa! pentru extensii gene, trandafir, plic 5 ml";"Cum se amesteca spuma concentrata:Pune continutul plicului intr-o sticla goala pentru spuma, adauga 45 ml. de apa si agita. Dupa primele 3-4 de apasari ale pompitei ce contine aer, va iesi spuma.Data Fabricarii:25.12.2022Perioada de valabilitate:2 ani (Nota: 6 luni dupa amestecarea cu apa)";1257;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"6.42 RON";https://pinklashes.ro/en/liquids-removers/lash-shampoo-concentrate-vegan-shampoo-concentrate-for-eyelash-extensions-5-ml.html;https://https://pinklashes.ro/31324-large_default/lash-shampoo-concentrate-vegan-shampoo-concentrate-for-eyelash-extensions-5-ml.jpg;"Pink Lashes";"6.42 RON";75801
7435;"Adeziv Express Winter Glue, uscare 0.3 sec. 5ml LICHIDARE STOC";"DATA PRODUCTIEI - octombrie 2023
Valabil nedeschis - 1 an de la data productiei 
Valabil deschis - 30 zile in loc intunecat";293;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"79.90 RON";https://pinklashes.ro/en/glues-liquids-/express-winter-glue-dry-time-03-sec-5ml-seazon-clearance.html;https://https://pinklashes.ro/34030-large_default/express-winter-glue-dry-time-03-sec-5ml-seazon-clearance.jpg;"Pink Lashes";"39.90 RON";50845
7436;"Adeziv transparent Ibeauty 5ml , uscare 1-3 sec pentru extensii gene false, Ultra Clear Glue";"DATA ESTIMATIVA CAND ESTE IN STOC : 10 MARTIE 2024";0;"Shop>Glues & Liquids>Adhesives";469;new;"55.00 RON";https://pinklashes.ro/en/adhesives/transparent-glue-5ml-ibeauty-ultra-clear-glue.html;https://https://pinklashes.ro/31331-large_default/transparent-glue-5ml-ibeauty-ultra-clear-glue.jpg;88080;"55.00 RON";88080
